geo_level,geo_code,name,parent_code
township,1000403,新埔鎮,10004
township,1000401,竹北市,10004
township,1000405,湖口鄉,10004
township,1000408,橫山鄉,10004
township,1000406,新豐鄉,10004
township,1000407,芎林鄉,10004
township,1000410,寶山鄉,10004
township,1000409,北埔鄉,10004
township,1000411,峨眉鄉,10004
township,1000412,尖石鄉,10004
township,1000413,五峰鄉,10004
township,1000501,苗栗市,10005
township,1000502,苑裡鎮,10005
township,1000503,通霄鎮,10005
township,1000509,公館鄉,10005
township,1000510,銅鑼鄉,10005
township,1000513,三義鄉,10005
township,1000514,西湖鄉,10005
township,1000512,頭屋鄉,10005
township,1000504,竹南鎮,10005
township,1000505,頭份市,10005
township,1000515,造橋鄉,10005
township,1000506,後龍鎮,10005
township,1000516,三灣鄉,10005
township,1000511,南庄鄉,10005
township,1000508,大湖鄉,10005
township,1000507,卓蘭鎮,10005
township,1000517,獅潭鄉,10005
township,1000518,泰安鄉,10005
township,1000801,南投市,10008
township,1000802,埔里鎮,10008
township,1000803,草屯鎮,10008
township,1000804,竹山鎮,10008
township,1000805,集集鎮,10008
township,1000806,名間鄉,10008
township,1000807,鹿谷鄉,10008
township,1000808,中寮鄉,10008
township,1000809,魚池鄉,10008
township,1000810,國姓鄉,10008
township,1000811,水里鄉,10008
township,1000812,信義鄉,10008
township,1000813,仁愛鄉,10008
township,1000701,彰化市,10007
township,1000702,鹿港鎮,10007
township,1000703,和美鎮,10007
township,1000719,北斗鎮,10007
township,1000710,員林市,10007
township,1000711,溪湖鎮,10007
township,1000712,田中鎮,10007
township,1000720,二林鎮,10007
township,1000704,線西鄉,10007
township,1000705,伸港鄉,10007
township,1000706,福興鄉,10007
township,1000707,秀水鄉,10007
township,1000708,花壇鄉,10007
township,1000709,芬園鄉,10007
township,1000713,大村鄉,10007
township,1000714,埔鹽鄉,10007
township,1000715,埔心鄉,10007
township,1000716,永靖鄉,10007
township,1000717,社頭鄉,10007
township,1000718,二水鄉,10007
township,1000721,田尾鄉,10007
township,1000722,埤頭鄉,10007
township,1000723,芳苑鄉,10007
township,1000724,大城鄉,10007
township,1000725,竹塘鄉,10007
township,1000726,溪州鄉,10007
township,1001801,新竹市,10018
township,1000901,斗六市,10009
township,1000902,斗南鎮,10009
township,1000903,虎尾鎮,10009
township,1000904,西螺鎮,10009
township,1000905,土庫鎮,10009
township,1000906,北港鎮,10009
township,1000907,古坑鄉,10009
township,1000908,大埤鄉,10009
township,1000909,莿桐鄉,10009
township,1000910,林內鄉,10009
township,1000911,二崙鄉,10009
township,1000912,崙背鄉,10009
township,1000913,麥寮鄉,10009
township,1000914,東勢鄉,10009
township,1000915,褒忠鄉,10009
township,1000916,臺西鄉,10009
township,1000917,元長鄉,10009
township,1000918,四湖鄉,10009
township,1000919,口湖鄉,10009
township,1000920,水林鄉,10009
township,1001002,朴子市,10010
township,1001003,布袋鎮,10010
township,1001004,大林鎮,10010
township,1001005,民雄鄉,10010
township,1001006,溪口鄉,10010
township,1001007,新港鄉,10010
township,1001008,六腳鄉,10010
township,1001009,東石鄉,10010
township,1001010,義竹鄉,10010
township,1001011,鹿草鄉,10010
township,1001001,太保市,10010
township,1001012,水上鄉,10010
township,1001013,中埔鄉,10010
township,1001014,竹崎鄉,10010
township,1001015,梅山鄉,10010
township,1001016,番路鄉,10010
township,1001017,大埔鄉,10010
township,1001018,阿里山鄉,10010
township,1001301,屏東市,10013
township,1001302,潮州鎮,10013
township,1001303,東港鎮,10013
township,1001304,恆春鎮,10013
township,1001305,萬丹鄉,10013
township,1001306,長治鄉,10013
township,1001307,麟洛鄉,10013
township,1001308,九如鄉,10013
township,1001309,里港鄉,10013
township,1001310,鹽埔鄉,10013
township,1001311,高樹鄉,10013
township,1001312,萬巒鄉,10013
township,1001313,內埔鄉,10013
township,1001314,竹田鄉,10013
township,1001315,新埤鄉,10013
township,1001316,枋寮鄉,10013
township,1001317,新園鄉,10013
township,1001318,崁頂鄉,10013
township,1001319,林邊鄉,10013
township,1001320,南州鄉,10013
township,1001321,佳冬鄉,10013
township,1001322,琉球鄉,10013
township,1001323,車城鄉,10013
township,1001324,滿州鄉,10013
township,1001325,枋山鄉,10013
township,1001326,三地門鄉,10013
township,1001327,霧臺鄉,10013
township,1001328,瑪家鄉,10013
township,1001329,泰武鄉,10013
township,1001330,來義鄉,10013
township,1001331,春日鄉,10013
township,1001332,獅子鄉,10013
township,1001333,牡丹鄉,10013
township,1001501,花蓮市,10015
township,1001507,光復鄉,10015
township,1001503,玉里鎮,10015
township,1001504,新城鄉,10015
township,1001505,吉安鄉,10015
township,1001506,壽豐鄉,10015
township,1001502,鳳林鎮,10015
township,1001508,豐濱鄉,10015
township,1001509,瑞穗鄉,10015
township,1001510,富里鄉,10015
township,1001511,秀林鄉,10015
township,1001512,萬榮鄉,10015
township,1001513,卓溪鄉,10015
township,1001401,臺東市,10014
township,1001402,成功鎮,10014
township,1001403,關山鎮,10014
township,1001404,卑南鄉,10014
township,1001410,大武鄉,10014
township,1001409,太麻里鄉,10014
township,1001407,東河鄉,10014
township,1001408,長濱鄉,10014
township,1001405,鹿野鄉,10014
township,1001406,池上鄉,10014
township,1001411,綠島鄉,10014
township,1001413,延平鄉,10014
township,1001412,海端鄉,10014
township,1001415,達仁鄉,10014
township,1001414,金峰鄉,10014
township,1001416,蘭嶼鄉,10014
township,0902003,金湖鎮,09020
township,0902002,金沙鎮,09020
township,0902001,金城鎮,09020
township,0902004,金寧鄉,09020
township,0902005,烈嶼鄉,09020
township,0902006,烏坵鄉,09020
township,1001601,馬公市,10016
township,1001602,湖西鄉,10016
township,1001603,白沙鄉,10016
township,1001604,西嶼鄉,10016
township,1001605,望安鄉,10016
township,1001606,七美鄉,10016
township,0900701,南竿鄉,09007
township,0900702,北竿鄉,09007
township,0900703,莒光鄉,09007
township,0900704,東引鄉,09007
village,63000010002,莊敬里,6300001
village,63000010003,東榮里,6300001
village,63000010004,三民里,6300001
village,63000010005,新益里,6300001
village,63000010006,富錦里,6300001
village,63000010007,新東里,6300001
village,63000010008,富泰里,6300001
village,63000010009,介壽里,6300001
village,63000010010,精忠里,6300001
village,63000010011,東光里,6300001
village,63000010012,龍田里,6300001
village,63000010013,東昌里,6300001
village,63000010014,東勢里,6300001
village,63000010015,中華里,6300001
village,63000010016,民有里,6300001
village,63000010017,民福里,6300001
village,63000010018,慈祐里,6300001
village,63000010019,安平里,6300001
village,63000010020,鵬程里,6300001
village,63000010021,自強里,6300001
